Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"KL Mann",""" Genuine Made-in-Americans"": Living Machines and the Technological Body in the Postwar Science Fiction Imaginary, 1944-1968",2014,"","search.proquest.com","https://search.proquest.com/openview/dcb0406afc166484c9ce1ac7b3f9cc41/1?pq-origsite=gscholar&cbl=18750","",134,"2022-07-17 10:04:42","BOOK","","","",,,,,0,0.00,0,1,8,"… the technological apparatus of the cultureindustry, a figure subject to oppression via her once-female body, the body of therobot in these stories becomes a site for uneasy identification …","","https://scholar.google.com/scholar?q=related:lNU6XhkrVWoJ:scholar.google.com/&scioq=misogyny%7Csexism+hate%7Ctoxic%7Cabusive%7Coffensive+detection%7Cidentification%7Cprediction%7Cclassification+%22natural+language+processing%22%7Cnlp%7C%22deep+learning%22%7C%22machine+learning%22%7Cml%7C%22artificial+intelligence%22+or+ai&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2014"
2,"M Laurence, D Cottle, L Kahn","13 Biosecurity and beef cattle health, husbandry and welfare",2014,"Beef Cattle Production and Trade","books.google.com","https://books.google.com/books?hl=en&lr=&id=suFZAwAAQBAJ&oi=fnd&pg=PA251&dq=misogyny%7Csexism+hate%7Ctoxic%7Cabusive%7Coffensive+detection%7Cidentification%7Cprediction%7Cclassification+%22natural+language+processing%22%7Cnlp%7C%22deep+learning%22%7C%22machine+learning%22%7Cml%7C%22artificial+intelligence%22+or+ai&ots=Svi6hTwSen&sig=X0GgN7SoDHaSZ9NbUtyYjNYIxSM","https://scholar.google.com/scholar?cites=7930720063715162178&as_sdt=2005&sciodt=2007&hl=en",92,"2022-07-17 10:04:42","","","","",,,,,2,0.25,1,3,8,"… The early detection of disease and pathogens is the best way to minimise pathogen build-up on … There are numerous plants that are in some way toxic to cattle. The toxic agent may not …","","https://scholar.google.com/scholar?q=related:QjjOEuGTD24J:scholar.google.com/&scioq=misogyny%7Csexism+hate%7Ctoxic%7Cabusive%7Coffensive+detection%7Cidentification%7Cprediction%7Cclassification+%22natural+language+processing%22%7Cnlp%7C%22deep+learning%22%7C%22machine+learning%22%7Cml%7C%22artificial+intelligence%22+or+ai&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2014"
0,"C Liedtke","303 faculty petition for representative on board",,"commons.lib.jmu.edu","","https://commons.lib.jmu.edu/cgi/viewcontent.cgi?article=1465&context=i19901999","",118,"2022-07-17 10:04:42","PDF","","","",,,,,0,0.00,0,1,,"… person would find ""hostile or abusive"" and allows juries and … Filing a formal complaint requires identification of the accuser, … Sexism in the classroom can alienate more than half of the …","https://commons.lib.jmu.edu/cgi/viewcontent.cgi?article=1465&context=i19901999",""
0,"R Jobanputra","A Portfolio of Academic, Therapeutic Practice and Research Work Including an Investigation of Minority Racial Group Clients' Experiences of Therapy With …",2014,"","search.proquest.com","https://search.proquest.com/openview/4b64746ee077849e607dedf82ac7fd1e/1?pq-origsite=gscholar&cbl=51922","",78,"2022-07-17 10:04:42","BOOK","","","",,,,,0,0.00,0,1,8,"… Through reviewing ajournai article, the first essay explores how conscious identification with a … , may partially explain Catherine staying in an abusive relationship for as long as she did. …","https://openresearch.surrey.ac.uk/esploro/fulltext/doctoral/A-Portfolio-of-Academic-Therapeutic-Practice/99514661402346?repId=12139548300002346&mId=13140667860002346&institution=44SUR_INST","https://scholar.google.com/scholar?q=related:T0TIkvj4qn4J:scholar.google.com/&scioq=misogyny%7Csexism+hate%7Ctoxic%7Cabusive%7Coffensive+detection%7Cidentification%7Cprediction%7Cclassification+%22natural+language+processing%22%7Cnlp%7C%22deep+learning%22%7C%22machine+learning%22%7Cml%7C%22artificial+intelligence%22+or+ai&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2014"
1,"M Frias","A critical discourse analysis of violence in the Mass Effect universe",2014,"","unbscholar.lib.unb.ca","https://unbscholar.lib.unb.ca/islandora/object/unbscholar%3A6521","https://scholar.google.com/scholar?cites=16961058190869693316&as_sdt=2005&sciodt=2007&hl=en",94,"2022-07-17 10:04:42","","","","",,,,,1,0.13,1,1,8,"This thesis offers a critical discourse analysis of violence in the video game Mass Effect. After the Sandy Hook School shooting in December, 2012, Mass Effect was believed to motivate …","https://unbscholar.lib.unb.ca/islandora/object/unbscholar%3A6521/datastream/PDF/view","https://scholar.google.com/scholar?q=related:hIOEoY_IYesJ:scholar.google.com/&scioq=misogyny%7Csexism+hate%7Ctoxic%7Cabusive%7Coffensive+detection%7Cidentification%7Cprediction%7Cclassification+%22natural+language+processing%22%7Cnlp%7C%22deep+learning%22%7C%22machine+learning%22%7Cml%7C%22artificial+intelligence%22+or+ai&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2014"
3,"MH Levy-Warren","A knot in the gut: Transference/counter-transference and issues of race, ethnicity, and class in an adolescent treatment",2014,"Journal of Infant, Child, and Adolescent …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/15289168.2014.905340","https://scholar.google.com/scholar?cites=4213367368749297296&as_sdt=2005&sciodt=2007&hl=en",18,"2022-07-17 10:04:42","","10.1080/15289168.2014.905340","","",,,,,3,0.38,3,1,8,"… racism and sexism flew in the face of my own sensitivities. … he came in, I found it offensive and reminiscent of bigotry I observed … and is powered by our AI driven recommendation engine. …","","https://scholar.google.com/scholar?q=related:kC6GakzjeDoJ:scholar.google.com/&scioq=misogyny%7Csexism+hate%7Ctoxic%7Cabusive%7Coffensive+detection%7Cidentification%7Cprediction%7Cclassification+%22natural+language+processing%22%7Cnlp%7C%22deep+learning%22%7C%22machine+learning%22%7Cml%7C%22artificial+intelligence%22+or+ai&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2014"
19,"C Wozny, MR Schneider","A matter of degree: The continuing training gap for women in Europe",2014,"Socio-Economic Review","academic.oup.com","https://academic.oup.com/ser/article-abstract/12/2/353/2270257","https://scholar.google.com/scholar?cites=16653390411134187337&as_sdt=2005&sciodt=2007&hl=en",87,"2022-07-17 10:04:42","","","","",,,,,19,2.38,10,2,8,"We analyse the gender training gap (ie the disadvantage of women in receiving work-related continuing training) based on individual data from the first wave of the Adult Education …","","https://scholar.google.com/scholar?q=related:SbeMcVi6HOcJ:scholar.google.com/&scioq=misogyny%7Csexism+hate%7Ctoxic%7Cabusive%7Coffensive+detection%7Cidentification%7Cprediction%7Cclassification+%22natural+language+processing%22%7Cnlp%7C%22deep+learning%22%7C%22machine+learning%22%7Cml%7C%22artificial+intelligence%22+or+ai&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2014"
5,"JM Glassgold, J Drescher","Activism and LGBT psychology",2014,"","taylorfrancis.com","https://www.taylorfrancis.com/books/mono/10.4324/9781315877518/activism-lgbt-psychology-judith-glassgold-jack-drescher","https://scholar.google.com/scholar?cites=6957722451733314306&as_sdt=2005&sciodt=2007&hl=en",89,"2022-07-17 10:04:42","BOOK","10.4324/9781315877518","","",,,,,5,0.63,3,2,8,"Go beyond traditional approaches to therapy, research, and teaching Psychotherapy works toward change, but has traditionally focused solely on the individual. Today it is understood …","","https://scholar.google.com/scholar?q=related:AvtSzbTLjmAJ:scholar.google.com/&scioq=misogyny%7Csexism+hate%7Ctoxic%7Cabusive%7Coffensive+detection%7Cidentification%7Cprediction%7Cclassification+%22natural+language+processing%22%7Cnlp%7C%22deep+learning%22%7C%22machine+learning%22%7Cml%7C%22artificial+intelligence%22+or+ai&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2014"
81,"IA Kira, L Lewandowski, L Chiodo, A Ibrahim","Advances in systemic trauma theory: Traumatogenic dynamics and consequences of backlash as a multi-systemic trauma on Iraqi refugee Muslim …",2014,"Psychology","scirp.org","https://www.scirp.org/html/9-6901091_45145.htm","https://scholar.google.com/scholar?cites=12885627058943370045&as_sdt=2005&sciodt=2007&hl=en",38,"2022-07-17 10:04:42","HTML","","","",,,,,81,10.13,20,4,8,"… Chronic racism, sexism, discrimination, homophobia and genocide are tools associated … verbal insults from neighbors or acquaintances and hate crimes because of group membership), …","https://www.scirp.org/html/9-6901091_45145.htm","https://scholar.google.com/scholar?q=related:PSN7BIrx0rIJ:scholar.google.com/&scioq=misogyny%7Csexism+hate%7Ctoxic%7Cabusive%7Coffensive+detection%7Cidentification%7Cprediction%7Cclassification+%22natural+language+processing%22%7Cnlp%7C%22deep+learning%22%7C%22machine+learning%22%7Cml%7C%22artificial+intelligence%22+or+ai&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2014"
5,"CD Williams","African Americans and racial microaggressions: Coping, psychological well-being, and physical health",2014,"","academiccommons.columbia.edu","https://academiccommons.columbia.edu/doi/10.7916/D88050SQ","https://scholar.google.com/scholar?cites=5171554583429268846&as_sdt=2005&sciodt=2007&hl=en",128,"2022-07-17 10:04:42","","10.7916/D88050SQ","","",,,,,5,0.63,5,1,8,"… be perceived as more offensive during initial encounters, its blatant presentation makes it easier to decode and understand. On the other hand, ambiguous presentations of racism may …","https://academiccommons.columbia.edu/doi/10.7916/D8CR61TG/download","https://scholar.google.com/scholar?q=related:bkXYWX4NxUcJ:scholar.google.com/&scioq=misogyny%7Csexism+hate%7Ctoxic%7Cabusive%7Coffensive+detection%7Cidentification%7Cprediction%7Cclassification+%22natural+language+processing%22%7Cnlp%7C%22deep+learning%22%7C%22machine+learning%22%7Cml%7C%22artificial+intelligence%22+or+ai&hl=en&as_sdt=2007&as_ylo=2014&as_yhi=2014"
